0.798;0.820;0.827;0.828;0.819;0.818;0.791;0.843;0.841;0.814;0.843
0.809;0.800;0.841;0.833;0.804;0.838;0.811;0.823;0.798;0.805;0.832
0.825;0.797;0.789;0.824;0.825;0.834;0.825;0.786;0.821;0.825;0.834
0.773;0.816;0.828;0.823;0.786;0.840;0.801;0.781;0.807;0.816;0.812
0.830;0.787;0.841;0.843;0.836;0.788;0.816;0.824;0.806;0.803;0.796
0.739;0.722;0.772;0.816;0.804;0.770;0.854;0.821;0.804;0.810;0.799
0.749;0.743;0.776;0.778;0.838;0.832;0.834;0.790;0.764;0.815;0.794
0.672;0.728;0.709;0.822;0.736;0.731;0.790;0.787;0.821;0.832;0.863
0.652;0.739;0.755;0.748;0.809;0.821;0.802;0.791;0.796;0.785;0.786
0.624;0.784;0.578;0.759;0.793;0.736;0.815;0.812;0.792;0.760;0.838
0.592;0.632;0.753;0.780;0.729;0.765;0.833;0.759;0.748;0.750;0.815
